0,"384;54;38;30;35;7;46;27;63;12;17;29;44;16;106;116",-1
1,"379;66;48;43;43;5;35;36;62;23;18;29;42;20;73;102",-1
2,"337;38;39;34;47;6;36;36;95;17;32;31;61;23;69;123",-1
3,"394;42;56;35;44;6;29;26;93;20;13;29;50;16;68;103",-1
4,"501;104;37;47;26;13;27;20;48;22;3;30;28;17;35;66",-1
5,"411;69;38;35;31;7;35;23;76;29;19;17;42;29;72;91",-1
6,"425;41;43;37;39;15;31;24;84;22;21;37;40;21;56;88",-1
7,"220;141;22;83;12;2;38;56;27;11;9;15;35;7;175;171",-1
8,"441;108;42;42;25;12;32;38;56;19;11;16;19;14;56;93",-1
9,"501;104;36;27;39;12;20;23;52;21;13;30;28;14;30;74",-1
10,"328;59;52;50;49;7;44;31;55;13;15;25;47;24;84;141",-1
11,"397;109;37;37;40;12;25;24;62;27;23;26;36;20;56;93",-1
12,"337;76;50;42;35;14;33;33;51;19;19;21;48;19;99;128",-1
13,"377;15;12;39;35;0;13;51;167;5;10;30;79;4;132;55",-1
14,"346;56;41;39;41;6;39;26;91;18;17;36;74;17;75;102",-1
15,"251;152;11;33;10;4;20;42;41;9;9;11;52;4;192;183",-1
16,"193;45;14;94;45;6;13;70;152;21;13;33;113;9;77;126",-1
17,"261;89;29;76;22;6;33;44;82;11;8;27;61;10;129;136",-1
18,"235;86;15;90;26;6;14;91;100;13;9;37;83;8;62;149",-1
19,"176;122;11;141;35;6;7;113;115;12;5;19;48;10;68;136",-1
20,"142;71;27;79;38;8;28;109;75;12;12;34;84;15;113;177",-1
21,"190;95;24;100;28;8;20;95;115;14;12;38;88;13;71;113",-1
22,"212;155;10;32;12;3;10;21;44;9;9;6;58;7;250;186",-1
23,"231;107;18;81;19;5;10;64;109;15;12;14;73;5;117;144",-1
24,"362;99;37;40;29;5;42;25;48;26;21;31;38;15;110;96",1
25,"252;122;36;17;18;5;35;12;53;20;13;12;41;12;252;124",-1
26,"319;199;26;24;16;6;16;11;37;16;10;11;27;15;201;90",-1
27,"327;63;44;45;36;9;39;27;80;22;16;23;62;13;106;112",1
28,"380;54;32;62;27;10;39;25;94;21;23;27;51;14;62;103",1
29,"340;46;46;35;16;8;30;61;73;17;12;7;30;12;67;224",-1
30,"369;105;31;32;8;8;28;36;42;14;16;8;34;14;113;166",-1
31,"324;102;33;29;19;3;41;35;42;16;14;15;29;20;139;163",-1
32,"269;64;27;26;17;3;28;19;38;9;6;14;43;10;244;207",-1
33,"350;92;17;45;8;0;15;14;40;2;3;2;44;3;255;134",-1
34,"264;75;48;70;47;12;31;43;64;30;22;39;79;26;63;111",1
35,"331;70;53;97;39;14;27;48;60;25;8;38;42;20;48;104",1
36,"282;52;51;73;60;16;27;48;80;21;21;41;44;19;68;121",1
37,"352;51;39;41;31;12;31;50;92;28;17;30;54;17;73;106",1
38,"314;42;40;34;25;8;34;93;85;18;7;17;29;19;46;213",-1
39,"324;42;38;30;28;5;31;44;68;21;6;19;24;8;57;279",-1
