0,"377;36;49;37;49;5;34;28;89;11;25;25;65;14;83;97",-1
1,"366;57;68;67;52;4;35;42;57;6;10;33;26;21;67;113",-1
2,"432;82;55;49;38;8;29;18;73;18;15;17;37;12;66;75",-1
3,"465;48;36;37;37;10;24;19;96;18;23;21;48;12;61;69",-1
4,"485;64;40;53;48;13;24;17;78;21;15;24;30;11;39;62",-1
5,"187;58;18;84;44;6;29;70;61;25;9;34;92;25;104;178",-1
6,"588;48;35;33;17;6;22;27;65;9;14;14;38;11;43;54",-1
7,"544;88;43;42;33;6;24;16;55;14;10;21;28;7;26;67",-1
8,"380;68;44;23;30;11;50;28;50;20;22;12;43;12;120;111",-1
9,"214;90;29;47;24;6;28;44;78;42;8;21;82;21;123;167",-1
10,"302;50;66;64;39;10;66;48;32;11;17;29;30;10;123;127",-1
11,"237;34;60;34;37;9;62;46;49;10;28;17;54;14;160;173",-1
12,"207;12;41;13;39;3;51;18;58;6;34;19;89;15;282;137",-1
13,"161;47;22;88;30;6;30;83;85;23;15;32;134;22;95;151",-1
14,"689;52;20;35;10;3;13;9;75;9;5;11;27;6;32;28",-1
15,"575;144;28;44;26;7;18;16;37;14;16;18;13;9;17;42",-1
16,"185;61;16;96;55;3;15;76;113;17;12;41;114;10;80;130",-1
17,"234;147;20;97;10;4;18;59;50;6;6;9;42;6;147;169",-1
18,"300;63;30;92;26;11;22;64;166;15;11;31;75;9;33;76",-1
19,"139;75;18;43;15;2;25;76;64;7;13;10;82;7;211;237",-1
20,"156;92;18;54;26;7;24;73;55;11;6;17;87;13;169;216",-1
21,"226;134;22;106;12;5;13;77;111;18;5;15;71;7;82;120",-1
22,"157;61;24;66;31;3;24;81;82;6;12;25;137;12;168;135",-1
23,"263;72;14;37;14;3;14;52;161;7;2;17;103;11;140;114",-1
24,"439;118;27;55;29;7;13;19;50;18;14;7;48;8;100;72",1
25,"259;151;27;41;18;8;23;25;53;14;13;6;51;12;230;93",-1
26,"418;161;28;47;13;3;27;14;49;7;5;5;32;10;124;81",1
27,"341;56;55;55;35;10;30;36;99;15;20;30;58;12;75;97",1
28,"368;62;54;49;29;4;45;55;66;17;17;17;42;17;85;97",1
29,"399;75;38;23;26;8;30;48;71;21;13;9;40;17;46;160",-1
30,"466;67;42;34;18;8;36;30;67;15;12;13;36;8;72;100",-1
31,"366;125;21;50;12;4;21;29;79;13;10;7;58;11;115;103",-1
32,"434;146;42;50;28;6;24;26;42;19;6;17;31;13;74;66",1
33,"246;219;28;42;13;3;28;10;60;18;9;7;81;15;172;73",-1
34,"286;45;44;40;33;7;28;25;102;16;19;24;114;12;136;93",1
35,"383;92;49;98;41;4;20;54;63;14;15;20;43;14;45;69",1
36,"398;61;42;54;32;5;25;62;103;23;12;20;47;10;52;78",1
37,"341;61;57;84;29;10;34;82;76;15;17;17;30;5;54;112",1
38,"367;114;31;60;19;6;27;54;63;10;13;9;32;5;75;139",1
39,"456;67;42;23;44;5;23;26;91;16;21;30;45;16;49;70",-1
