0,"359;26;47;38;46;4;38;29;62;15;18;23;52;16;138;113",-1
1,"308;38;39;37;54;16;41;36;90;18;32;39;55;22;91;108",-1
2,"373;67;63;73;38;6;49;45;42;20;14;33;23;12;55;111",-1
3,"340;62;60;57;41;9;43;49;63;22;16;41;43;16;60;102",-1
4,"419;68;47;52;34;16;26;46;64;28;13;42;35;18;43;73",-1
5,"452;73;39;54;41;25;26;28;50;23;5;43;32;25;38;70",-1
6,"409;68;42;65;40;17;20;34;68;35;15;39;30;20;41;81",-1
7,"329;124;51;100;34;9;23;44;55;15;18;33;38;15;60;76",-1
8,"553;69;38;32;24;2;21;13;52;17;10;12;46;11;74;50",-1
9,"347;53;47;37;43;13;40;27;70;20;17;31;47;17;81;134",-1
10,"413;53;46;37;36;5;34;29;67;21;22;26;55;22;73;85",-1
11,"290;59;62;79;33;11;54;62;45;14;19;27;35;14;84;136",-1
12,"107;15;40;77;28;5;51;141;148;8;21;27;73;8;134;141",-1
13,"194;22;49;10;40;3;58;14;85;9;29;13;89;19;204;186",-1
14,"435;69;42;62;38;12;35;33;57;20;14;36;27;22;46;76",-1
15,"272;165;18;56;22;3;16;42;103;23;18;17;70;12;100;87",-1
16,"204;114;26;73;28;8;19;80;85;9;8;29;39;9;107;186",-1
17,"224;116;22;110;20;5;20;87;68;17;10;20;57;10;104;134",-1
18,"306;163;16;77;15;4;12;63;85;13;5;11;46;5;85;118",-1
19,"198;91;19;67;13;7;23;62;128;12;14;13;119;15;107;136",-1
20,"199;83;8;58;11;2;8;93;172;9;4;10;132;4;115;116",-1
21,"217;173;15;49;11;4;12;49;54;12;3;3;93;6;192;131",-1
22,"202;72;11;130;20;9;17;102;154;10;8;21;79;10;78;101",-1
23,"127;67;16;97;10;6;24;89;185;10;6;10;138;7;119;113",-1
24,"352;71;42;40;48;11;39;36;63;21;15;18;41;14;80;133",1
25,"354;52;47;57;41;9;41;44;72;23;24;33;47;21;63;96",1
26,"391;92;48;40;30;5;26;34;73;18;16;21;40;26;62;102",1
27,"304;94;44;38;35;9;41;29;64;19;18;19;56;14;100;140",1
28,"293;122;31;46;18;4;33;28;42;12;13;11;36;14;139;182",-1
29,"361;153;29;32;26;4;27;21;48;18;17;19;36;11;113;109",-1
30,"356;95;51;45;36;7;24;30;50;18;10;33;48;19;99;103",1
31,"360;74;44;40;30;13;30;25;63;18;19;21;52;16;109;110",1
32,"278;94;55;75;49;13;35;51;63;32;11;31;52;11;59;115",1
33,"275;74;42;64;46;10;27;37;102;21;4;38;66;14;75;129",1
34,"318;67;56;64;35;8;36;71;77;19;17;30;50;15;51;110",1
35,"312;46;51;64;49;16;31;42;92;26;23;42;47;17;49;117",1
36,"353;59;39;42;29;10;41;39;83;25;13;23;45;17;77;129",1
37,"362;73;39;44;37;11;28;44;83;28;14;26;43;16;62;114",1
38,"343;74;41;42;27;20;33;46;68;18;18;34;45;28;73;114",1
39,"368;74;38;39;41;7;28;37;77;28;19;37;45;20;62;104",1
