0,"316;24;21;8;24;4;10;10;24;4;4;2;13;1;2;4;24;6;2;3;2;0;3;4;21;5;3;3;14;3;6;5;30;4;0;1;1;2;2;1;2;0;0;0;2;0;1;2;20;4;0;0;2;0;1;10;10;2;1;2;5;2;5;7;36;8;2;4;4;4;2;9;1;2;1;2;4;3;2;1;6;1;0;3;3;0;1;7;8;1;2;2;4;1;1;4;12;7;3;4;1;1;5;4;2;3;1;0;5;1;4;1;18;7;1;6;8;3;2;11;12;6;3;4;12;11;6;37;316;24;21;8;24;4;10;10;24;4;4;2;13;1;2;4;24;6;2;3;2;0;3;4;21;5;3;3;14;3;6;5;30;4;0;1;1;2;2;1;2;0;0;0;2;0;1;2;20;4;0;0;2;0;1;10;10;2;1;2;5;2;5;7;36;8;2;4;4;4;2;9;1;2;1;2;4;3;2;1;6;1;0;3;3;0;1;7;8;1;2;2;4;1;1;4;12;7;3;4;1;1;5;4;2;3;1;0;5;1;4;1;18;7;1;6;8;3;2;11;12;6;3;4;12;11;6;37;309;23;21;7;25;3;11;11;25;4;4;2;13;0;2;5;24;5;2;3;2;0;3;4;22;5;4;3;18;3;6;6;30;3;0;1;1;2;2;1;1;0;0;0;2;0;2;2;21;3;0;0;1;0;1;10;9;2;1;2;7;2;5;6;32;11;2;4;5;4;2;10;1;2;1;2;3;3;2;1;6;1;0;3;3;0;1;6;6;2;1;2;3;1;1;4;12;7;2;4;1;1;4;6;2;3;1;0;5;2;5;0;18;10;1;6;8;3;3;11;13;5;3;4;12;10;7;38"
1,"301;26;21;17;15;6;10;13;27;1;2;1;11;5;4;5;18;3;8;6;4;2;2;2;12;1;1;3;20;4;5;7;23;8;3;0;1;1;2;3;3;0;1;0;2;0;0;1;12;5;5;2;4;1;3;6;7;2;0;3;6;2;4;8;29;20;3;6;9;1;3;6;8;0;0;0;3;3;2;4;6;3;1;3;0;1;0;0;4;3;0;5;7;7;1;5;20;5;3;2;3;1;2;4;1;2;1;0;5;1;0;2;17;8;2;3;4;0;2;15;10;3;5;7;9;13;4;46;294;29;23;14;16;8;10;10;29;2;2;1;15;3;4;2;21;3;7;7;4;2;2;1;13;1;1;3;15;4;6;6;24;7;4;1;1;1;1;3;4;0;1;0;2;0;0;1;11;7;5;1;2;1;3;7;5;2;0;3;5;2;6;8;35;19;3;4;8;1;3;7;8;1;0;0;3;2;2;5;4;2;1;3;1;1;0;2;4;2;1;4;8;5;1;6;22;5;3;3;3;0;2;4;2;2;0;0;4;1;0;3;18;6;1;4;4;2;2;14;10;4;5;7;9;13;5;44;290;24;21;13;12;6;11;15;27;0;2;2;13;4;5;6;21;4;6;7;4;2;2;1;16;1;0;3;15;2;5;9;24;7;6;1;1;1;1;3;3;0;1;0;2;0;0;1;14;5;3;2;5;1;3;5;6;4;1;3;4;2;5;6;32;13;4;5;8;1;3;6;8;2;1;0;4;3;0;5;3;3;1;3;0;1;1;0;4;1;1;5;8;5;1;5;24;5;4;2;4;2;2;3;1;2;0;0;4;1;1;2;22;10;2;5;5;1;2;15;10;3;5;6;15;14;4;42"
2,"272;13;11;5;18;2;5;4;20;3;1;1;7;0;4;1;47;6;2;2;4;0;1;0;14;3;3;5;4;4;1;2;38;3;5;1;3;0;0;1;7;1;0;1;0;1;0;0;32;2;3;2;8;1;1;1;14;0;0;1;4;2;4;3;34;11;5;3;3;1;1;1;5;1;2;2;2;1;1;2;12;5;2;0;1;1;0;4;11;3;3;1;5;4;2;10;33;6;2;2;5;2;4;5;3;1;1;1;2;1;3;3;43;6;2;6;5;3;5;9;25;9;4;3;19;15;16;37;262;14;9;5;16;2;3;3;22;3;1;1;8;1;6;2;43;5;1;1;6;0;2;2;20;1;1;6;4;5;4;1;35;2;4;1;3;0;1;1;3;1;0;1;0;1;0;1;33;3;4;2;10;0;0;1;18;1;0;2;6;2;6;4;32;11;5;3;4;1;3;1;6;2;2;2;2;0;0;1;11;4;1;0;1;1;0;4;10;4;3;1;5;4;2;11;23;7;2;0;6;0;0;7;6;0;2;1;2;1;1;2;49;8;3;5;3;1;6;8;26;7;4;5;25;18;18;35;253;12;12;7;13;1;7;10;19;3;1;0;8;0;1;5;40;8;1;2;4;0;1;0;18;1;2;4;10;6;1;5;36;3;5;3;3;0;1;1;4;1;0;1;0;1;1;0;22;3;4;1;8;0;0;5;12;0;1;2;9;2;5;2;31;17;5;5;3;2;1;2;6;2;2;2;1;1;3;2;10;3;1;0;1;1;1;4;9;4;3;1;6;5;3;10;23;7;3;3;5;0;0;9;3;1;1;1;2;1;2;5;47;14;2;6;3;2;4;11;23;9;4;3;20;17;15;40"
3,"244;25;14;11;16;1;10;13;19;1;2;1;8;0;3;5;49;0;2;1;10;1;3;3;15;8;2;0;9;2;4;3;32;2;3;1;4;0;3;0;7;0;0;0;1;0;0;1;29;2;3;3;2;0;3;5;25;2;1;0;12;0;4;6;41;8;4;6;3;1;3;4;4;1;0;1;2;1;1;2;11;5;0;1;1;0;0;0;7;3;1;0;9;0;5;5;25;6;1;3;1;2;1;5;8;1;0;0;1;2;1;6;38;10;1;6;1;5;5;8;28;8;2;7;22;15;9;30;233;17;16;11;11;3;8;6;19;4;0;0;12;0;4;1;43;5;2;3;11;1;6;4;16;8;1;0;14;2;5;5;33;2;3;1;3;0;2;0;6;0;0;0;1;0;0;2;26;3;2;2;4;1;2;2;30;1;2;2;12;1;3;7;33;8;4;6;1;2;3;5;6;0;0;1;1;2;0;4;11;4;0;1;1;0;0;0;5;4;1;1;10;1;3;4;24;4;1;5;0;2;2;4;7;2;0;0;4;1;0;7;43;16;5;5;3;4;4;9;30;8;1;2;21;15;14;35;240;27;9;15;15;1;10;5;24;4;0;1;10;0;5;5;47;0;3;2;7;0;3;3;20;5;3;0;13;2;5;5;32;1;3;1;3;0;1;1;7;0;0;0;1;0;0;1;23;3;1;1;2;1;2;6;24;2;1;0;11;2;5;8;29;8;3;8;3;1;4;6;3;1;1;0;3;2;0;2;12;5;0;1;1;1;0;0;6;2;1;0;3;0;2;7;16;7;2;3;2;0;0;8;7;0;0;0;3;2;0;5;41;11;1;9;3;5;5;11;28;11;2;6;29;9;16;35"
4,"294;34;21;18;22;1;8;17;20;6;3;2;10;3;7;6;32;6;6;3;2;3;3;2;14;7;2;1;9;3;2;4;32;9;4;3;4;1;1;1;0;0;0;0;2;0;0;0;13;4;2;0;0;0;1;1;3;2;2;2;7;0;1;4;47;16;6;5;7;3;5;9;2;0;1;1;2;0;5;4;6;6;1;3;3;0;0;1;6;2;0;1;2;2;2;8;21;9;0;5;5;3;0;5;4;1;1;2;2;3;2;8;14;8;2;4;5;4;6;10;8;8;0;3;4;13;7;31;285;38;23;21;25;3;11;16;17;4;3;3;10;3;6;6;24;6;5;4;4;4;3;2;10;8;2;2;9;3;2;6;25;11;5;3;2;1;1;2;0;0;0;0;2;0;1;0;13;2;2;0;0;1;1;1;3;2;2;2;5;0;2;3;44;17;6;11;7;3;4;9;2;2;1;1;1;1;5;3;5;5;1;3;3;0;0;4;4;2;0;0;2;3;1;10;21;9;0;2;4;4;0;7;3;2;1;2;3;3;2;7;18;13;1;6;1;3;6;8;8;12;0;3;6;13;5;31;297;39;22;17;22;2;9;13;21;4;2;2;10;5;8;5;30;7;6;3;3;3;4;2;13;6;3;1;12;3;3;6;32;9;4;4;1;1;2;1;1;0;0;0;2;0;0;1;11;2;2;0;1;0;1;1;7;1;2;2;5;0;3;5;46;17;6;8;8;3;4;10;2;0;2;1;2;0;4;5;5;5;0;1;3;0;1;1;4;2;0;2;2;3;2;11;19;9;0;6;7;4;0;4;3;1;1;2;3;2;2;7;11;11;1;3;1;3;6;8;5;9;0;4;6;13;4;25"
5,"318;23;18;7;16;2;9;6;20;3;1;1;10;3;4;4;33;7;2;1;3;0;0;1;16;3;1;1;6;4;1;3;35;4;1;2;1;1;3;1;6;0;0;2;0;1;0;0;31;3;3;2;3;0;2;2;10;1;1;1;4;4;2;3;32;3;4;5;5;1;1;3;3;2;1;1;3;3;1;1;8;2;1;4;0;3;1;1;11;4;2;4;8;1;3;6;19;3;1;2;2;3;1;4;8;2;1;0;3;0;1;2;37;8;4;2;8;3;7;11;11;4;1;9;11;16;16;40;294;24;17;8;17;1;10;7;20;5;2;1;10;4;4;3;32;6;2;2;4;1;1;1;18;3;3;0;7;3;0;2;35;2;2;2;2;1;2;2;6;0;0;2;0;0;1;0;31;1;3;1;1;1;1;3;7;1;2;0;5;5;3;4;30;9;2;4;6;1;1;3;2;2;0;1;3;3;1;2;10;0;2;4;0;3;1;1;12;3;2;2;6;3;3;9;21;4;1;5;2;3;2;4;7;2;1;0;2;0;0;3;30;10;5;5;10;5;5;15;13;7;3;4;10;17;14;45;293;23;15;10;15;1;11;14;19;5;1;1;12;3;4;4;30;6;2;2;5;0;1;2;20;4;2;0;10;4;3;4;34;6;0;2;1;1;1;2;6;0;0;2;0;0;0;0;28;2;4;2;1;1;2;4;12;2;1;1;5;3;2;3;34;4;3;4;5;3;1;5;2;1;0;1;4;4;1;1;7;2;1;3;1;2;1;1;9;3;1;5;7;1;4;6;19;8;0;1;0;4;2;3;5;2;1;0;6;0;0;1;36;10;7;1;8;2;4;10;15;6;1;5;16;14;14;42"
6,"337;36;20;19;10;6;8;19;15;6;1;1;7;2;3;4;20;6;2;3;2;1;0;1;10;3;2;2;11;2;3;8;24;5;3;1;1;1;2;3;2;1;2;0;0;2;1;1;12;2;1;1;1;0;1;4;5;2;1;0;2;3;0;5;40;22;5;6;3;2;3;10;4;2;1;3;2;2;0;3;5;3;2;6;2;2;0;3;4;2;2;3;1;5;2;9;17;8;0;9;3;3;3;7;2;0;1;1;7;2;1;4;18;7;4;3;2;1;1;16;6;2;1;5;10;13;6;43;318;36;21;17;12;6;6;15;12;7;1;1;12;3;5;6;22;6;2;2;2;1;0;1;14;3;1;3;10;2;7;7;22;3;3;2;0;1;1;3;2;1;1;1;1;1;1;1;14;1;0;1;3;0;1;3;6;3;1;0;3;2;0;4;39;22;3;6;4;2;2;11;3;2;1;3;4;3;0;2;8;3;1;5;1;2;0;3;6;2;2;3;1;4;2;7;19;11;1;8;1;3;1;10;2;0;1;0;7;2;0;4;19;6;6;3;4;3;3;15;6;1;2;6;9;13;8;46;323;40;24;21;11;7;9;15;13;4;1;1;8;2;4;7;18;3;2;5;2;1;0;2;11;3;2;2;13;2;2;8;24;3;3;1;0;1;1;3;3;0;2;0;0;1;1;2;11;3;1;2;1;0;1;4;3;2;1;0;1;2;2;4;34;21;4;6;3;2;2;16;5;4;1;1;4;3;0;0;5;3;0;4;2;2;2;5;4;1;2;4;2;5;2;12;22;7;0;9;2;2;1;9;2;0;1;0;6;2;0;5;23;8;4;3;3;1;2;11;6;3;1;6;8;17;7;43"
7,"277;27;19;13;20;2;12;13;22;5;0;2;8;3;10;9;31;5;3;2;3;2;3;1;10;2;0;1;12;3;7;4;31;5;2;1;3;0;3;2;5;3;1;0;4;0;1;1;16;4;0;0;3;0;5;4;5;3;1;4;3;0;4;5;36;9;4;11;2;5;2;3;5;2;0;5;2;2;3;7;6;6;0;0;0;2;1;2;6;3;0;1;3;5;3;10;27;7;3;8;4;3;0;9;1;1;1;0;4;3;3;5;23;8;0;5;6;3;8;13;5;5;5;3;8;10;9;38;254;33;20;17;19;4;14;16;21;6;3;2;10;2;9;12;32;3;2;3;4;3;3;2;13;1;0;1;9;6;7;5;28;5;4;3;4;0;5;2;4;0;0;0;2;1;1;0;20;3;0;1;0;1;6;5;5;3;0;2;6;2;2;4;34;10;6;7;3;4;2;6;5;3;1;3;2;3;2;9;7;3;0;1;2;2;1;2;7;2;0;3;2;4;2;12;29;10;3;8;2;6;2;8;2;4;0;1;3;4;3;2;13;8;1;4;6;2;3;11;5;8;1;3;8;7;10;42;248;27;19;11;16;5;11;12;24;5;1;2;8;2;6;7;33;7;0;3;4;0;2;3;14;2;2;0;13;3;11;4;32;6;3;3;4;0;1;2;8;0;0;0;2;0;0;0;13;3;2;0;1;0;4;2;8;1;2;2;5;2;4;5;35;14;4;11;3;6;2;4;2;4;0;3;3;2;2;6;8;5;0;2;1;1;1;1;6;3;1;2;2;5;4;13;23;11;4;8;1;3;2;11;3;3;1;0;5;3;2;5;24;11;0;5;7;4;4;12;4;7;1;3;12;15;12;42"
8,"277;42;14;22;27;3;18;59;24;5;1;5;12;4;3;6;16;4;1;6;3;2;4;9;6;3;0;5;3;3;3;7;20;1;2;1;3;0;1;1;2;1;0;0;0;1;0;1;6;8;3;2;1;1;1;8;4;3;1;1;1;1;2;3;31;14;7;8;3;0;6;9;7;2;0;3;5;1;1;2;7;0;0;4;1;1;0;0;4;1;0;1;2;0;0;3;20;7;1;4;2;4;1;4;11;0;0;1;1;2;0;8;13;7;3;4;1;5;5;23;32;5;0;10;2;4;4;40;255;39;12;20;24;6;20;66;23;5;1;5;15;2;6;13;15;4;2;5;5;1;2;10;9;3;0;4;3;2;2;7;16;2;2;3;2;1;1;1;1;1;0;0;0;0;0;1;9;6;3;3;1;1;1;10;7;2;0;1;0;1;3;2;32;17;4;10;3;1;4;14;7;1;0;2;4;0;0;3;2;2;0;2;0;2;1;2;5;0;0;1;2;2;0;5;17;6;0;4;2;3;2;6;10;0;0;2;2;2;0;5;15;10;4;4;1;3;4;22;37;5;0;9;3;6;3;42;262;38;13;19;22;2;20;53;24;5;1;5;13;4;1;5;19;4;1;5;3;2;3;8;7;3;1;6;7;0;1;9;21;1;3;0;1;1;0;2;1;1;0;0;0;2;0;1;9;6;3;3;2;2;1;8;5;2;0;1;3;0;2;5;29;17;5;8;3;2;5;11;5;2;0;4;5;0;0;3;5;2;0;4;1;1;0;2;5;0;0;0;2;0;0;6;20;8;2;6;1;4;1;7;11;2;0;1;2;2;0;5;19;10;3;5;2;5;4;22;36;4;0;10;3;4;5;41"
9,"361;39;25;22;28;7;16;23;27;4;3;4;10;4;13;8;19;4;1;8;2;1;1;8;4;6;1;4;13;5;2;5;14;2;1;4;2;1;1;2;1;1;0;0;0;1;0;3;5;4;0;1;2;4;5;6;4;1;0;1;2;5;4;2;22;13;2;6;6;6;1;12;5;2;0;1;2;1;4;2;0;2;2;2;2;0;2;4;2;3;2;0;2;1;1;9;10;2;1;6;1;0;3;8;3;3;0;1;3;0;5;5;9;3;0;2;3;2;3;22;2;2;1;2;1;10;3;32;377;37;24;18;30;7;18;24;26;4;3;5;9;4;13;9;18;4;1;9;2;1;1;8;4;6;1;4;10;5;2;6;14;3;1;4;2;1;1;2;1;1;0;0;0;1;0;3;5;3;0;1;1;4;5;6;4;1;0;1;2;5;3;3;23;9;2;6;6;6;1;11;4;2;0;0;1;1;5;3;0;2;2;2;2;0;2;5;2;3;2;0;2;1;1;8;9;2;1;6;1;0;2;7;3;3;0;1;4;0;5;6;5;4;0;2;2;2;3;24;1;3;1;2;0;9;3;31;377;37;24;18;30;7;18;24;26;4;3;5;9;4;13;9;18;4;1;9;2;1;1;8;4;6;1;4;10;5;2;6;14;3;1;4;2;1;1;2;1;1;0;0;0;1;0;3;5;3;0;1;1;4;5;6;4;1;0;1;2;5;3;3;23;9;2;6;6;6;1;11;4;2;0;0;1;1;5;3;0;2;2;2;2;0;2;5;2;3;2;0;2;1;1;8;9;2;1;6;1;0;2;7;3;3;0;1;4;0;5;6;5;4;0;2;2;2;3;24;1;3;1;2;0;9;3;31"
