0,"390;56;50;45;49;21;32;30;67;26;27;30;46;13;47;95;393;58;51;44;51;20;33;29;68;25;26;31;45;13;42;95;393;58;51;44;51;20;33;29;68;25;26;31;45;13;42;95"
1,"345;39;64;46;54;8;33;37;73;20;20;39;42;11;82;111;341;39;58;46;54;9;30;38;74;20;21;37;42;11;91;113;324;50;64;54;56;9;32;38;70;20;19;39;43;8;88;110"
2,"311;49;56;51;40;6;45;47;65;17;24;27;56;9;97;124;309;55;60;46;40;8;51;48;52;17;27;34;49;8;90;130;323;42;62;50;42;6;47;53;61;16;24;30;49;10;84;125"
3,"408;48;34;60;39;12;24;38;68;22;18;32;57;10;51;103;390;53;40;58;36;11;25;39;72;22;18;32;63;5;52;108;395;58;30;49;33;11;24;34;79;21;16;35;65;7;70;97"
4,"390;34;48;52;43;14;41;30;76;15;27;32;57;14;50;101;398;46;48;48;42;15;40;29;71;15;26;29;60;14;48;95;380;37;48;52;43;15;43;31;76;15;27;28;58;17;53;101"
5,"498;45;39;27;45;11;18;22;90;28;18;29;41;17;40;56;468;45;42;31;47;9;20;22;94;29;22;28;42;16;46;63;506;52;39;31;40;10;19;25;84;25;15;25;40;15;40;58"
6,"467;62;48;33;50;9;16;27;81;24;20;22;44;21;38;62;458;67;47;46;49;11;18;22;77;22;18;20;47;20;40;62;460;61;47;38;50;8;19;25;78;24;18;23;47;20;38;68"
7,"514;55;27;44;43;12;11;15;91;21;21;23;46;14;33;54;517;59;28;32;41;11;15;13;96;20;22;18;45;17;35;55;512;55;26;46;41;12;16;16;83;21;21;26;44;14;36;55"
8,"500;62;32;55;33;7;28;19;68;24;17;35;37;7;28;72;519;64;33;53;33;6;24;20;61;26;16;33;33;10;29;64;516;64;32;54;30;6;25;21;65;26;14;36;38;9;24;64"
9,"360;46;62;55;35;8;42;42;57;16;17;42;40;12;77;113;383;48;68;34;44;8;43;39;56;13;16;49;42;14;63;104;401;53;62;43;41;8;35;39;54;13;15;41;38;11;66;104"
10,"357;39;59;46;46;6;43;39;60;9;23;39;36;16;79;127;343;33;65;47;43;10;45;43;58;12;24;38;39;16;82;126;330;38;59;56;47;6;51;39;62;9;25;37;38;16;79;132"
11,"413;60;43;49;47;7;26;23;89;14;21;24;48;13;66;81;450;55;38;34;45;8;20;22;99;18;25;25;52;15;55;63;436;55;41;52;43;9;23;23;84;14;21;26;44;14;64;75"
12,"176;17;14;130;14;6;5;136;360;11;8;24;56;4;31;32;209;16;17;116;18;6;7;130;361;12;7;28;46;5;14;32;214;17;18;126;21;6;6;132;349;12;5;25;45;4;14;30"
13,"319;46;69;34;46;5;46;31;62;15;19;24;59;14;104;131;313;43;69;44;45;6;49;31;70;12;19;19;51;13;99;141;325;42;61;41;51;5;40;38;63;14;24;20;54;14;103;129"
14,"472;77;24;41;44;11;14;10;86;26;16;26;40;19;61;57;497;83;21;24;42;13;12;9;81;32;15;24;47;16;61;47;511;79;23;28;43;12;12;13;84;33;20;23;44;17;40;42"
15,"172;58;21;55;29;9;22;73;145;21;12;28;106;14;86;173;177;63;18;56;24;7;24;82;130;22;16;27;99;16;86;177;181;64;24;55;26;5;27;87;125;19;12;31;88;15;86;179"
16,"193;86;20;73;27;13;22;113;74;14;8;30;90;19;67;175;189;86;24;72;28;13;21;102;83;15;8;28;88;21;68;178;192;85;21;72;28;12;21;101;84;16;8;29;93;21;70;171"
17,"499;94;36;36;29;13;13;19;67;29;16;21;40;10;49;53;520;97;33;33;35;13;11;19;65;31;16;23;39;11;31;47;501;93;32;33;36;14;8;15;80;23;14;21;40;12;51;51"
18,"536;70;20;37;32;4;15;17;81;22;16;24;42;6;52;50;570;80;20;27;32;4;11;13;80;24;18;21;48;8;33;35;566;66;22;31;33;6;9;12;93;19;13;22;44;6;38;44"
