0,"332;66;69;64;46;13;41;46;62;20;11;29;30;12;77;106;353;69;59;59;44;12;43;47;55;20;14;32;31;12;68;106;324;58;64;74;46;14;46;53;63;15;13;24;26;9;73;122"
1,"421;56;51;53;38;7;39;36;74;23;14;11;41;16;58;86;437;52;50;36;46;9;33;33;78;24;16;12;44;13;58;83;425;59;53;39;41;8;40;37;76;26;16;14;49;12;47;82"
2,"437;60;43;49;36;11;30;23;70;16;15;26;37;16;77;78;443;59;47;51;40;14;32;29;65;16;16;26;39;16;56;75;437;54;46;46;39;13;32;28;67;16;17;26;46;16;64;77"
3,"382;57;47;51;39;11;35;21;69;23;20;30;49;18;74;98;395;58;45;39;38;11;37;15;66;27;19;28;48;16;78;104;409;56;49;37;38;12;34;25;62;23;18;33;43;15;71;99"
4,"428;44;36;28;39;10;30;16;101;22;32;15;62;19;57;85;438;47;35;20;43;9;27;14;108;21;30;11;67;19;57;78;435;43;37;20;39;9;31;15;103;23;30;16;69;19;55;80"
5,"484;45;49;37;36;5;37;27;63;19;17;22;41;14;55;73;445;41;49;45;34;4;35;25;75;18;18;22;47;14;68;84;482;42;48;36;35;5;34;26;67;18;17;23;43;14;59;75"
6,"516;43;44;61;27;14;17;39;80;17;16;20;34;9;31;56;516;49;50;50;34;12;20;38;65;14;14;25;33;10;39;55;526;45;45;48;28;14;17;38;72;14;16;24;36;10;36;55"
7,"539;145;35;69;25;12;8;29;32;16;9;21;10;10;27;37;542;157;34;71;22;13;7;30;40;17;8;22;10;10;10;31;545;162;36;69;26;13;6;29;35;15;8;22;11;11;9;27"
8,"475;66;41;37;45;5;14;30;93;20;19;19;38;15;47;60;456;69;42;40;45;5;25;29;74;21;19;19;41;11;53;75;470;66;42;35;47;5;19;21;82;26;19;19;41;10;54;68"
9,"484;45;38;37;28;6;24;23;80;18;15;22;38;11;70;85;468;65;43;34;34;3;23;26;101;19;15;23;37;13;49;71;462;53;39;37;29;8;19;27;88;20;17;31;40;10;64;80"
10,"364;44;53;34;45;6;52;27;71;13;29;21;64;11;78;112;345;45;54;28;42;7;45;26;74;15;30;24;69;8;91;121;335;44;55;35;46;5;47;28;88;19;28;19;70;14;84;107"
11,"506;59;51;53;33;10;26;28;53;15;18;26;27;9;34;76;497;65;50;54;35;12;24;21;60;20;18;26;27;7;37;71;500;67;65;40;34;11;28;25;52;15;9;26;27;9;40;76"
12,"514;76;47;62;24;12;21;29;58;23;12;23;23;17;35;48;492;87;50;64;26;5;20;27;59;19;15;24;26;20;35;55;515;94;57;59;22;11;21;39;48;24;12;16;29;16;18;43"
13,"552;99;23;18;25;6;19;20;84;25;15;15;35;14;36;38;567;102;22;21;30;9;16;18;80;31;17;17;37;12;17;28;561;104;25;28;27;9;14;18;89;29;12;12;33;10;19;34"
14,"353;58;41;34;30;3;48;21;70;8;12;12;35;12;153;134;392;51;46;26;30;4;56;23;48;12;15;11;35;12;148;115;393;46;45;25;26;6;54;25;56;7;15;10;40;10;144;122"
15,"331;96;51;68;26;11;50;58;41;19;11;11;19;6;77;149;339;111;46;74;22;7;46;58;38;11;14;9;17;6;71;155;337;107;53;74;27;8;48;65;33;11;10;10;16;5;64;156"
16,"572;89;31;26;24;7;14;16;65;15;14;12;25;18;58;38;578;93;29;29;24;8;14;15;64;15;15;12;23;16;54;35;568;94;31;29;24;8;14;15;68;14;14;12;24;17;55;37"
17,"680;94;16;23;19;5;10;4;79;22;2;7;20;10;24;9;685;96;18;13;19;6;12;2;81;20;2;5;23;10;17;15;695;102;16;14;16;4;10;2;79;24;1;9;19;7;17;9"
18,"471;78;33;41;33;3;28;34;60;24;16;19;39;10;61;74;501;87;45;47;25;4;27;40;53;23;15;9;31;9;46;62;471;84;44;46;28;2;32;41;54;22;15;15;34;9;55;72"
19,"491;76;45;63;15;3;23;34;52;11;13;17;32;10;69;70;500;83;56;52;17;3;32;36;51;11;4;17;31;11;57;63;527;80;51;46;26;2;26;31;47;16;8;19;22;12;50;61"
20,"523;156;30;52;18;5;26;26;29;18;8;16;15;10;34;58;581;162;32;40;22;10;21;24;19;12;5;16;9;5;16;50;536;159;33;55;24;10;17;25;24;18;5;16;5;4;37;56"
21,"442;86;37;38;27;17;12;80;91;20;16;25;21;13;35;64;463;96;38;39;27;16;9;79;86;18;13;23;17;11;24;65;455;96;34;42;28;15;13;81;94;17;14;25;17;11;20;62"
22,"506;94;29;35;29;5;20;10;76;20;15;16;41;12;60;56;538;106;28;20;33;4;20;15;68;22;16;12;39;15;44;44;549;107;27;25;33;5;17;18;69;23;16;12;41;8;32;42"
23,"491;113;33;63;23;3;21;20;45;19;9;20;26;10;61;67;471;113;36;83;31;2;24;21;55;23;10;24;24;12;32;63;515;118;31;74;33;2;19;20;46;21;11;24;21;9;28;52"
24,"157;32;15;65;46;10;34;107;95;10;23;38;97;15;81;199;157;35;16;67;45;10;31;107;95;13;22;38;100;15;74;199;163;34;17;69;49;11;31;107;92;13;23;40;91;11;75;198"
