0,"399;49;68;47;43;5;38;35;61;21;15;23;38;22;61;99;399;49;68;47;43;5;38;35;61;21;15;23;38;22;61;99;400;49;67;47;44;5;38;34;61;21;15;23;41;22;60;97"
1,"362;54;66;69;47;14;43;60;48;16;15;29;27;13;47;114;356;54;66;67;50;14;43;55;50;16;14;29;25;12;52;121;354;60;58;75;47;12;42;59;45;17;14;33;28;13;52;115"
2,"377;48;55;51;49;12;24;26;86;17;18;39;46;17;61;98;374;55;51;55;49;9;25;31;86;10;15;32;40;18;73;101;381;58;50;56;47;9;20;23;82;12;13;32;40;18;84;99"
3,"412;42;46;33;43;10;32;16;85;12;16;34;47;19;71;106;413;42;47;31;43;11;31;16;84;12;15;34;46;20;74;105;417;42;46;32;44;10;30;17;85;12;14;34;44;20;70;107"
4,"381;53;58;46;38;7;35;30;86;19;17;25;44;13;74;98;380;54;58;44;40;5;35;27;82;14;19;30;46;17;74;99;359;56;61;60;36;7;44;37;87;13;16;28;44;12;59;105"
5,"420;59;40;30;47;10;25;23;105;27;19;32;51;16;44;76;414;59;44;28;45;10;29;26;94;31;19;37;52;16;43;77;415;59;41;27;45;10;29;23;107;28;20;33;53;14;41;79"
6,"508;60;45;24;32;5;25;25;90;17;15;19;38;12;42;67;495;67;43;24;33;5;26;27;96;19;14;20;34;8;43;70;464;62;42;40;33;2;27;26;100;15;12;19;37;8;59;78"
7,"476;61;41;35;31;14;20;19;79;31;12;31;37;14;56;67;483;66;36;34;34;14;19;17;86;32;12;32;35;12;45;67;465;72;35;41;31;14;20;19;83;32;13;32;37;14;53;63"
8,"435;65;55;43;31;6;35;28;71;20;19;22;46;19;52;77;440;63;57;43;32;6;34;25;71;20;19;20;45;19;51;79;436;64;54;44;34;6;30;23;68;19;18;22;43;19;61;83"
9,"389;39;60;41;41;6;43;43;64;16;29;33;43;17;63;97;383;37;65;41;39;6;44;39;65;16;27;34;40;18;66;104;375;44;63;35;31;5;43;46;62;13;25;33;41;17;86;105"
