
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1e-05;8;"1,2";279;151;99;1271;0.738095;0.861111;0.648837;0.927737;0.690594
0.1;1e-05;8;"1,3";287;172;98;1243;0.745455;0.85;0.625272;0.92692;0.680095
0.1;1e-05;8;"1,4";193;194;46;1367;0.807531;0.866667;0.498708;0.967445;0.616613
0.1;1e-05;8;"2,3";268;199;118;1215;0.694301;0.823889;0.573876;0.911478;0.62837
0.1;1e-05;8;"2,4";324;71;111;1294;0.744828;0.898889;0.820253;0.920996;0.780723
0.1;1e-05;8;"3,4";330;94;188;1188;0.637066;0.843333;0.778302;0.863372;0.700637
0.1;1e-05;8;"1,2,3";93;158;51;598;0.645833;0.767778;0.370518;0.921418;0.470886
0.1;1e-05;8;"1,2,4";117;62;42;679;0.735849;0.884444;0.653631;0.941748;0.692308
0.1;1e-05;8;"1,3,4";190;18;110;582;0.633333;0.857778;0.913462;0.84104;0.748031
0.1;1e-05;8;"2,3,4";138;78;38;646;0.784091;0.871111;0.638889;0.944444;0.704082
0.1;1e-05;16;"1,2";205;129;48;1058;0.810277;0.877083;0.613772;0.9566;0.698467
0.1;1e-05;16;"1,3";213;131;36;1060;0.855422;0.884028;0.619186;0.967153;0.718381
0.1;1e-05;16;"1,4";209;79;79;1073;0.725694;0.890278;0.725694;0.931424;0.725694
0.1;1e-05;16;"2,3";166;189;31;1054;0.84264;0.847222;0.467606;0.971429;0.601449
0.1;1e-05;16;"2,4";278;21;73;1068;0.792023;0.934722;0.929766;0.936021;0.855385
0.1;1e-05;16;"3,4";279;30;110;1021;0.717224;0.902778;0.902913;0.902741;0.799427
0.1;1e-05;16;"1,2,3";142;53;35;490;0.80226;0.877778;0.728205;0.933333;0.763441
0.1;1e-05;16;"1,2,4";106;33;24;557;0.815385;0.920833;0.76259;0.958692;0.788104
0.1;1e-05;16;"1,3,4";112;37;32;539;0.777778;0.904167;0.751678;0.943958;0.764505
0.1;1e-05;16;"2,3,4";137;23;30;530;0.820359;0.926389;0.85625;0.946429;0.83792
0.1;1e-05;32;"1,2";66;104;19;721;0.776471;0.864835;0.388235;0.974324;0.517647
0.1;1e-05;32;"1,3";73;99;14;724;0.83908;0.875824;0.424419;0.98103;0.563707
0.1;1e-05;32;"1,4";34;100;15;761;0.693878;0.873626;0.253731;0.98067;0.371585
0.1;1e-05;32;"2,3";29;149;8;724;0.783784;0.827473;0.162921;0.989071;0.269767
0.1;1e-05;32;"2,4";63;77;20;750;0.759036;0.893407;0.45;0.974026;0.565022
0.1;1e-05;32;"3,4";81;61;16;752;0.835052;0.915385;0.570423;0.979167;0.677824
0.1;1e-05;32;"1,2,3";54;50;9;342;0.857143;0.87033;0.519231;0.974359;0.646707
0.1;1e-05;32;"1,2,4";34;32;17;372;0.666667;0.892308;0.515152;0.956298;0.581197
0.1;1e-05;32;"1,3,4";41;27;11;376;0.788462;0.916484;0.602941;0.971576;0.683333
0.1;1e-05;32;"2,3,4";42;32;12;369;0.777778;0.903297;0.567568;0.968504;0.65625

FV w Color;FV w LBP;include road marks
No;Yes;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1e-05;8;"1,2";184;315;299;1002;0.380952;0.658889;0.368737;0.770177;0.374745
0.1;1e-05;8;"1,3";324;184;638;654;0.336798;0.543333;0.637795;0.506192;0.440816
0.1;1e-05;8;"1,4";179;298;556;767;0.243537;0.525556;0.375262;0.579743;0.29538
0.1;1e-05;8;"2,3";84;428;219;1069;0.277228;0.640556;0.164062;0.829969;0.206135
0.1;1e-05;8;"2,4";104;377;357;962;0.225597;0.592222;0.216216;0.72934;0.220807
0.1;1e-05;8;"3,4";159;331;409;901;0.27993;0.588889;0.32449;0.687786;0.300567
0.1;1e-05;8;"1,2,3";197;68;414;221;0.322422;0.464444;0.743396;0.348031;0.449772
0.1;1e-05;8;"1,2,4";182;52;388;278;0.319298;0.511111;0.777778;0.417417;0.452736
0.1;1e-05;8;"1,3,4";47;196;150;507;0.238579;0.615556;0.193416;0.771689;0.213636
0.1;1e-05;8;"2,3,4";165;82;321;332;0.339506;0.552222;0.668016;0.508423;0.450205
