
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"2,3";257;210;133;1200;0.658974;0.809444;0.550321;0.900225;0.599767
0.1;1;8;"2,4";323;72;138;1267;0.700651;0.883333;0.817722;0.901779;0.754673
0.1;1;8;"3,4";292;132;330;1046;0.469453;0.743333;0.688679;0.760174;0.558317
0.1;1;8;"1,2,3";121;130;166;483;0.421603;0.671111;0.482072;0.744222;0.449814
0.1;1;8;"1,2,4";127;52;41;680;0.755952;0.896667;0.709497;0.943135;0.731988
0.1;1;8;"1,3,4";113;95;163;529;0.40942;0.713333;0.543269;0.764451;0.466942
0.1;1;8;"2,3,4";120;96;85;599;0.585366;0.798889;0.555556;0.875731;0.570071
0.1;1;16;"1,2";245;89;104;1002;0.702006;0.865972;0.733533;0.905967;0.717423
0.1;1;16;"1,3";187;157;111;985;0.627517;0.813889;0.543605;0.898723;0.582555
0.1;1;16;"1,4";229;59;172;980;0.571072;0.839583;0.795139;0.850694;0.664731
0.1;1;16;"2,3";170;185;176;909;0.491329;0.749306;0.478873;0.837788;0.485021
0.1;1;16;"2,4";209;90;129;1012;0.618343;0.847917;0.698997;0.886941;0.656201
0.1;1;16;"3,4";188;121;136;995;0.580247;0.821528;0.608414;0.879752;0.593997
0.1;1;16;"1,2,3";176;19;80;445;0.6875;0.8625;0.902564;0.847619;0.780488
0.1;1;16;"1,2,4";116;23;82;499;0.585859;0.854167;0.834532;0.858864;0.688427
0.1;1;16;"1,3,4";75;74;19;552;0.797872;0.870833;0.503356;0.966725;0.617284
0.1;1;16;"2,3,4";131;29;119;441;0.524;0.794444;0.81875;0.7875;0.639024
0.1;1;32;"1,2";93;77;37;703;0.715385;0.874725;0.547059;0.95;0.62
0.1;1;32;"1,3";119;53;112;626;0.515152;0.818681;0.69186;0.848238;0.590571
0.1;1;32;"1,4";82;52;46;730;0.640625;0.892308;0.61194;0.940722;0.625954
0.1;1;32;"2,3";65;113;36;696;0.643564;0.836264;0.365169;0.95082;0.46595
0.1;1;32;"2,4";97;43;104;666;0.482587;0.838462;0.692857;0.864935;0.568915
0.1;1;32;"3,4";88;54;150;618;0.369748;0.775824;0.619718;0.804688;0.463158
0.1;1;32;"1,2,3";69;35;86;265;0.445161;0.734066;0.663462;0.754986;0.532819
0.1;1;32;"1,2,4";28;38;18;371;0.608696;0.876923;0.424242;0.953728;0.5
0.1;1;32;"1,3,4";41;27;31;356;0.569444;0.872527;0.602941;0.919897;0.585714
0.1;1;32;"2,3,4";55;19;26;355;0.679012;0.901099;0.743243;0.931759;0.709677

FV w Color;FV w LBP;include road marks
No;Yes;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2";333;166;877;424;0.275207;0.420556;0.667335;0.325903;0.389702
0.1;1;8;"1,3";352;156;708;584;0.332075;0.52;0.692913;0.452012;0.44898
0.1;1;8;"1,4";56;421;214;1109;0.207407;0.647222;0.1174;0.838246;0.149933
0.1;1;8;"2,3";42;470;118;1170;0.2625;0.673333;0.0820312;0.908385;0.125
0.1;1;8;"2,4";74;407;154;1165;0.324561;0.688333;0.153846;0.883245;0.208745
0.1;1;8;"3,4";121;369;367;943;0.247951;0.591111;0.246939;0.719847;0.247444
0.1;1;8;"1,2,3";37;228;114;521;0.245033;0.62;0.139623;0.820472;0.177885
0.1;1;8;"1,2,4";81;153;142;524;0.363229;0.672222;0.346154;0.786787;0.354486
0.1;1;8;"1,3,4";28;215;82;575;0.254545;0.67;0.115226;0.87519;0.15864
0.1;1;8;"2,3,4";65;182;205;448;0.240741;0.57;0.263158;0.686064;0.251451
0.1;1;16;"1,2";87;301;416;636;0.172962;0.502083;0.224227;0.604563;0.195286
0.1;1;16;"1,3";285;113;681;361;0.295031;0.448611;0.71608;0.346449;0.417889
0.1;1;16;"1,4";152;220;278;790;0.353488;0.654167;0.408602;0.7397;0.379052
0.1;1;16;"2,3";16;387;57;980;0.219178;0.691667;0.0397022;0.945034;0.0672269
0.1;1;16;"2,4";181;196;331;732;0.353516;0.634028;0.480106;0.688617;0.407199
0.1;1;16;"3,4";147;240;195;858;0.429825;0.697917;0.379845;0.814815;0.403292
0.1;1;16;"1,2,3";17;190;69;444;0.197674;0.640278;0.0821256;0.865497;0.116041
0.1;1;16;"1,2,4";96;85;121;418;0.442396;0.713889;0.530387;0.77551;0.482412
0.1;1;16;"1,3,4";19;172;81;448;0.19;0.648611;0.0994764;0.846881;0.130584
0.1;1;16;"2,3,4";91;105;223;301;0.289809;0.544444;0.464286;0.574427;0.356863
0.1;1;32;"1,2";67;139;131;573;0.338384;0.703297;0.325243;0.81392;0.331683
0.1;1;32;"1,3";45;163;105;597;0.3;0.705495;0.216346;0.850427;0.251397
0.1;1;32;"1,4";23;165;107;615;0.176923;0.701099;0.12234;0.851801;0.144654
0.1;1;32;"2,3";26;188;67;629;0.27957;0.71978;0.121495;0.903736;0.169381
0.1;1;32;"2,4";62;132;155;561;0.285714;0.684615;0.319588;0.78352;0.301703
0.1;1;32;"3,4";75;121;216;498;0.257732;0.62967;0.382653;0.697479;0.308008
0.1;1;32;"1,2,3";0;113;26;316;0;0.694505;0;0.923977;-nan
0.1;1;32;"1,2,4";70;23;130;232;0.35;0.663736;0.752688;0.640884;0.477816
0.1;1;32;"1,3,4";0;95;0;360;-nan;0.791209;0;1;-nan
0.1;1;32;"2,3,4";62;39;153;201;0.288372;0.578022;0.613861;0.567797;0.392405

FV w Color;FV w LBP;include road marks
Yes;No;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2";371;128;321;980;0.536127;0.750556;0.743487;0.753267;0.623006
0.1;1;8;"1,3";293;215;275;1017;0.515845;0.727778;0.576772;0.787152;0.54461
