
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;0.00015;8;"1,2,3";151;100;55;594;73.301;82.7778;60.1594;91.5254;66.0832
0.1;1e-05;8;"1,2,4";148;31;46;675;76.2887;91.4444;82.6816;93.62;79.3566
0.1;1e-05;8;"1,3,4";113;95;39;653;74.3421;85.1111;54.3269;94.3642;62.7778
0.1;1e-05;8;"2,3,4";169;47;82;602;67.3307;85.6667;78.2407;88.0117;72.3769
0.1;1e-05;16;"1,2,3";102;93;24;501;80.9524;83.75;52.3077;95.4286;63.5514
0.1;1e-05;16;"1,2,4";126;13;43;538;74.5562;92.2222;90.6475;92.599;81.8182
0.1;1e-05;16;"1,3,4";119;30;25;546;82.6389;92.3611;79.8658;95.6217;81.2287
0.1;1e-05;16;"2,3,4";146;14;46;514;76.0417;91.6667;91.25;91.7857;82.9545
2.5;1e-05;32;"1,2,3";55;49;10;341;84.6154;87.033;52.8846;97.151;65.0888
0.1;1e-05;32;"1,2,4";35;31;16;373;68.6275;89.6703;53.0303;95.8869;59.8291
0.1;1e-05;32;"1,3,4";48;20;7;380;87.2727;94.0659;70.5882;98.1912;78.0488
0.1;1e-05;32;"2,3,4";44;30;14;367;75.8621;90.3297;59.4595;96.3255;66.6667

FV w Color;FV w LBP;include road marks
Yes;No;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
12.5;1e-05;8;"1,2,3";87;164;151;498;36.5546;65;34.6614;76.7334;35.5828
2.5;0.00015;8;"1,2,4";0;179;0;721;-nan;80.1111;0;100;-nan
2.5;0.00015;8;"1,3,4";0;208;0;692;-nan;76.8889;0;100;-nan
0.1;0.03375;8;"2,3,4";174;42;570;114;23.3871;32;80.5556;16.6667;36.25
0.1;0.00225;16;"1,2,3";148;47;118;407;55.6391;77.0833;75.8974;77.5238;64.2082
0.1;0.00225;16;"1,2,4";49;90;66;515;42.6087;78.3333;35.2518;88.6403;38.5827
2.5;0.00225;16;"1,3,4";56;93;48;523;53.8462;80.4167;37.5839;91.5937;44.2688
2.5;0.00225;16;"2,3,4";60;100;45;515;57.1429;79.8611;37.5;91.9643;45.283
0.1;0.00015;32;"1,2,3";64;40;40;311;61.5385;82.4176;61.5385;88.604;61.5385
0.1;0.00015;32;"1,2,4";36;30;53;336;40.4494;81.7582;54.5455;86.3753;46.4516
2.5;0.00225;32;"1,3,4";17;51;5;382;77.2727;87.6923;25;98.708;37.7778
2.5;0.00225;32;"2,3,4";19;55;12;369;61.2903;85.2747;25.6757;96.8504;36.1905

FV w Color;FV w LBP;include road marks
Yes;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1e-05;8;"1,2,3";93;158;51;598;64.5833;76.7778;37.0518;92.1418;47.0886
0.1;1e-05;8;"1,2,4";117;62;42;679;73.5849;88.4444;65.3631;94.1748;69.2308
0.1;1e-05;8;"1,3,4";190;18;110;582;63.3333;85.7778;91.3462;84.104;74.8031
2.5;0.00015;8;"2,3,4";181;35;59;625;75.4167;89.5556;83.7963;91.3743;79.386
0.1;1e-05;16;"1,2,3";142;53;35;490;80.226;87.7778;72.8205;93.3333;76.3441
0.1;1e-05;16;"1,2,4";106;33;24;557;81.5385;92.0833;76.259;95.8692;78.8104
0.1;1e-05;16;"1,3,4";112;37;32;539;77.7778;90.4167;75.1678;94.3958;76.4505
0.1;1e-05;16;"2,3,4";137;23;30;530;82.0359;92.6389;85.625;94.6429;83.792
12.5;1e-05;32;"1,2,3";57;47;11;340;83.8235;87.2527;54.8077;96.8661;66.2791
0.1;1e-05;32;"1,2,4";34;32;17;372;66.6667;89.2308;51.5152;95.6298;58.1197
2.5;1e-05;32;"1,3,4";52;16;13;374;80;93.6264;76.4706;96.6408;78.1955
12.5;1e-05;32;"2,3,4";49;25;13;368;79.0323;91.6484;66.2162;96.5879;72.0588

FV w Color;FV w LBP;include road marks
No;Yes;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1e-05;8;"1,2,3";131;134;95;540;57.9646;74.5556;49.434;85.0394;53.3605
0.1;1e-05;8;"1,2,4";140;94;35;631;80;85.6667;59.8291;94.7447;68.4597
0.1;1e-05;8;"1,3,4";159;84;45;612;77.9412;85.6667;65.4321;93.1507;71.1409
0.1;1e-05;8;"2,3,4";105;142;52;601;66.879;78.4444;42.5101;92.0368;51.9802
0.1;1e-05;16;"1,2,3";179;28;45;468;79.9107;89.8611;86.4734;91.2281;83.0626
0.1;1e-05;16;"1,2,4";174;7;86;453;66.9231;87.0833;96.1326;84.0445;78.9116
0.1;1e-05;16;"1,3,4";154;37;24;505;86.5169;91.5278;80.6283;95.4631;83.4688
0.1;1e-05;16;"2,3,4";168;28;92;432;64.6154;83.3333;85.7143;82.4427;73.6842
0.1;1e-05;32;"1,2,3";90;23;19;323;82.5688;90.7692;79.646;94.4444;81.0811
0.1;1e-05;32;"1,2,4";67;26;13;349;83.75;91.4286;72.043;96.4088;77.4566
0.1;1e-05;32;"1,3,4";58;37;2;358;96.6667;91.4286;61.0526;99.4444;74.8387
0.1;1e-05;32;"2,3,4";81;20;9;345;90;93.6264;80.198;97.4576;84.8168

FV w Color;FV w LBP;include road marks
Yes;No;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
2.5;0.00015;8;"1,2,3";0;265;4;631;0;70.1111;0;99.3701;-nan
2.5;0.00015;8;"1,2,4";10;224;25;641;28.5714;72.3333;4.2735;96.2462;7.43494
2.5;0.00015;8;"1,3,4";0;243;0;657;-nan;73;0;100;-nan
0.1;0.03375;8;"2,3,4";73;174;103;550;41.4773;69.2222;29.5547;84.2266;34.5154
0.1;0.00225;16;"1,2,3";103;104;70;443;59.5376;75.8333;49.7585;86.3548;54.2105
2.5;0.00225;16;"1,2,4";67;114;105;434;38.9535;69.5833;37.0166;80.5195;37.9603
0.1;0.00225;16;"1,3,4";49;142;42;487;53.8462;74.4444;25.6545;92.0605;34.7518
2.5;0.00225;16;"2,3,4";72;124;77;447;48.3221;72.0833;36.7347;85.3053;41.7391
0.1;0.00015;32;"1,2,3";66;47;57;285;53.6585;77.1429;58.4071;83.3333;55.9322
2.5;0.00225;32;"1,2,4";18;75;8;354;69.2308;81.7582;19.3548;97.7901;30.2521
0.1;0.00015;32;"1,3,4";39;56;38;322;50.6494;79.3407;41.0526;89.4444;45.3488
2.5;0.00225;32;"2,3,4";24;77;20;334;54.5455;78.6813;23.7624;94.3503;33.1034

FV w Color;FV w LBP;include road marks
Yes;Yes;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;0.00015;8;"1,2,3";225;40;89;546;71.6561;85.6667;84.9057;85.9843;77.7202
0.1;1e-05;8;"1,2,4";172;62;90;576;65.6489;83.1111;73.5043;86.4865;69.3548
0.1;0.00015;8;"1,3,4";109;134;25;632;81.3433;82.3333;44.856;96.1948;57.8249
0.1;1e-05;8;"2,3,4";190;57;69;584;73.3591;86;76.9231;89.4334;75.0988
0.1;1e-05;16;"1,2,3";180;27;51;462;77.9221;89.1667;86.9565;90.0585;82.1918
0.1;1e-05;16;"1,2,4";161;20;61;478;72.5225;88.75;88.9503;88.6827;79.9007
0.1;1e-05;16;"1,3,4";79;112;31;498;71.8182;80.1389;41.3613;94.1399;52.4917
0.1;0.00015;16;"2,3,4";158;38;267;257;37.1765;57.6389;80.6122;49.0458;50.8857
0.1;1e-05;32;"1,2,3";96;17;22;320;81.3559;91.4286;84.9558;93.5673;83.1169
2.5;1e-05;32;"1,2,4";78;15;20;342;79.5918;92.3077;83.871;94.4751;81.6754
0.1;1e-05;32;"1,3,4";56;39;2;358;96.5517;90.989;58.9474;99.4444;73.2026
12.5;1e-05;32;"2,3,4";81;20;11;343;88.0435;93.1868;80.198;96.8927;83.9378
