,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
No,Yes,No,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
Yes,Yes,No,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
0.1,0.00015,8,"1,2",309,121,152,1218,0.670282,0.848333,0.718605,0.889051,0.693603
0.1,0.00015,8,"1,3",296,163,68,1273,0.813187,0.871667,0.64488,0.949292,0.71932
2.5,0.00225,8,"1,4",92,295,28,1385,0.766667,0.820556,0.237726,0.980184,0.362919
0.1,0.00015,8,"2,3",214,253,50,1283,0.810606,0.831667,0.458244,0.962491,0.585499
0.1,0.00015,8,"2,4",292,103,116,1289,0.715686,0.878333,0.739241,0.917438,0.727273
0.1,0.00225,8,"3,4",326,98,67,1309,0.829517,0.908333,0.768868,0.951308,0.798042
0.1,0.00001,8,"1,2,3",93,158,51,598,0.645833,0.767778,0.370518,0.921418,0.470886
0.1,0.00001,8,"1,2,4",117,62,42,679,0.735849,0.884444,0.653631,0.941748,0.692308
0.1,0.00001,8,"1,3,4",190,18,110,582,0.633333,0.857778,0.913462,0.84104,0.748031
2.5,0.00015,8,"2,3,4",181,35,59,625,0.754167,0.895556,0.837963,0.913743,0.79386
0.1,0.00001,16,"1,2",205,129,48,1058,0.810277,0.877083,0.613772,0.9566,0.698467
2.5,0.00001,16,"1,3",247,97,48,1048,0.837288,0.899306,0.718023,0.956204,0.773083
0.1,0.00015,16,"1,4",116,172,44,1108,0.725,0.85,0.402778,0.961806,0.517857
0.1,0.00001,16,"2,3",166,189,31,1054,0.84264,0.847222,0.467606,0.971429,0.601449
0.1,0.00001,16,"2,4",278,21,73,1068,0.792023,0.934722,0.929766,0.936021,0.855385
0.1,0.00001,16,"3,4",279,30,110,1021,0.717224,0.902778,0.902913,0.902741,0.799427
0.1,0.00001,16,"1,2,3",142,53,35,490,0.80226,0.877778,0.728205,0.933333,0.763441
