
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;0.00015;8;"3,4";369;121;118;1192;75.77;86.7222;75.3061;90.9924;75.5374
0.1;1e-05;16;"1,2";290;98;61;991;82.6211;88.9583;74.7423;94.2015;78.4844
0.1;1e-05;16;"1,3";340;58;54;988;86.2944;92.2222;85.4271;94.8177;85.8586
0.1;1e-05;16;"1,4";226;146;32;1036;87.5969;87.6389;60.7527;97.0037;71.746
0.1;1e-05;16;"2,3";291;112;98;939;74.8072;85.4167;72.2084;90.5497;73.4848
0.1;0.00015;16;"2,4";303;74;65;998;82.337;90.3472;80.3714;93.8852;81.3423
0.1;0.00015;16;"3,4";275;112;28;1025;90.7591;90.2778;71.0594;97.3409;79.7101
2.5;1e-05;32;"1,2";180;26;36;668;83.3333;93.1868;87.3786;94.8864;85.3081
2.5;1e-05;32;"1,3";140;68;31;671;81.8713;89.1209;67.3077;95.584;73.8786
2.5;1e-05;32;"1,4";81;107;12;710;87.0968;86.9231;43.0851;98.338;57.6512
2.5;1e-05;32;"2,3";133;81;32;664;80.6061;87.5824;62.1495;95.4023;70.1847
2.5;1e-05;32;"2,4";144;50;22;694;86.747;92.0879;74.2268;96.9274;80
2.5;1e-05;32;"3,4";141;55;10;704;93.3775;92.8571;71.9388;98.5994;81.268

FV w Color;FV w LBP;include road marks
Yes;No;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;0.03375;8;"1,2";121;378;166;1135;42.1603;69.7778;24.2485;87.2406;30.7888
2.5;0.00015;8;"1,3";490;18;1114;178;30.5486;37.1111;96.4567;13.7771;46.4015
62.5;1e-05;8;"1,4";4;473;36;1287;10;71.7222;0.838574;97.2789;1.54739
0.1;0.03375;8;"2,3";100;412;143;1145;41.1523;69.1667;19.5312;88.8975;26.4901
2.5;0.00015;8;"2,4";0;481;0;1319;-nan;73.2778;0;100;-nan
0.1;0.03375;8;"3,4";89;401;101;1209;46.8421;72.1111;18.1633;92.2901;26.1765
0.1;0.00015;16;"1,2";85;303;167;885;33.7302;67.3611;21.9072;84.1255;26.5625
12.5;1e-05;16;"1,3";256;142;404;638;38.7879;62.0833;64.3216;61.2284;48.3932
2.5;0.00225;16;"1,4";109;263;123;945;46.9828;73.1944;29.3011;88.4831;36.0927
0.1;0.00225;16;"2,3";354;49;817;220;30.2306;39.8611;87.8412;21.215;44.9809
0.1;0.00225;16;"2,4";179;198;198;865;47.4801;72.5;47.4801;81.3735;47.4801
2.5;0.00225;16;"3,4";185;202;203;850;47.6804;71.875;47.8036;80.7217;47.7419
0.1;0.00015;32;"1,2";120;86;120;584;50;77.3626;58.2524;82.9545;53.8117
0.1;0.00015;32;"1,3";106;102;77;625;57.9235;80.3297;50.9615;89.0313;54.2199
12.5;0.00015;32;"1,4";67;121;87;635;43.5065;77.1429;35.6383;87.9501;39.1813
0.1;0.00015;32;"2,3";111;103;113;583;49.5536;76.2637;51.8692;83.7644;50.6849
2.5;0.00015;32;"2,4";105;89;88;628;54.4041;80.5495;54.1237;87.7095;54.2636
2.5;0.00015;32;"3,4";88;108;87;627;50.2857;78.5714;44.898;87.8151;47.4394

FV w Color;FV w LBP;include road marks
Yes;Yes;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;0.00225;8;"1,2";343;156;114;1187;75.0547;85;68.7375;91.2375;71.7573
0.1;0.00225;8;"1,3";368;140;239;1053;60.626;78.9444;72.4409;81.5015;66.009
2.5;0.00225;8;"1,4";123;354;22;1301;84.8276;79.1111;25.7862;98.3371;39.5498
0.1;0.00015;8;"2,3";318;194;173;1115;64.7658;79.6111;62.1094;86.5683;63.4098
0.1;1e-05;8;"2,4";361;120;216;1103;62.565;81.3333;75.052;83.624;68.242
2.5;0.00225;8;"3,4";136;354;27;1283;83.4356;78.8333;27.7551;97.9389;41.6539
0.1;1e-05;16;"1,2";300;88;73;979;80.429;88.8194;77.3196;93.0608;78.8436
0.1;1e-05;16;"1,3";326;72;53;989;86.0158;91.3194;81.9095;94.9136;83.9125
0.1;0.00015;16;"1,4";157;215;18;1050;89.7143;83.8194;42.2043;98.3146;57.404
2.5;1e-05;16;"2,3";276;127;82;955;77.095;85.4861;68.4864;92.0926;72.5361
0.1;0.00015;16;"2,4";303;74;59;1004;83.7017;90.7639;80.3714;94.4497;82.0027
0.1;1e-05;16;"3,4";300;87;156;897;65.7895;83.125;77.5194;85.1852;71.1744
2.5;1e-05;32;"1,2";170;36;39;665;81.3397;91.7582;82.5243;94.4602;81.9277
2.5;1e-05;32;"1,3";157;51;31;671;83.5106;90.989;75.4808;95.584;79.2929
12.5;1e-05;32;"1,4";79;109;9;713;89.7727;87.033;42.0213;98.7535;57.2464
2.5;1e-05;32;"2,3";120;94;23;673;83.9161;87.1429;56.0748;96.6954;67.2269
2.5;1e-05;32;"2,4";137;57;22;694;86.1635;91.3187;70.6186;96.9274;77.6204
0.1;1e-05;32;"3,4";113;83;8;706;93.3884;90;57.6531;98.8796;71.2934
