
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
FV w Color;FV w LBP;include road marks
Yes;Yes;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2,3";171;94;152;483;52.9412;72.6667;64.5283;76.063;58.1633
0.1;1;8;"1,2,4";162;72;85;581;65.587;82.5556;69.2308;87.2372;67.3597
0.1;1;8;"1,3,4";179;64;170;487;51.2894;74;73.6626;74.1248;60.473
0.1;1;8;"2,3,4";171;76;222;431;43.5115;66.8889;69.2308;66.0031;53.4375
0.1;1;16;"1,2,3";46;161;42;471;52.2727;71.8056;22.2222;91.8129;31.1864
0.1;1;16;"1,2,4";161;20;71;468;69.3966;87.3611;88.9503;86.8275;77.9661
0.1;1;16;"1,3,4";157;34;116;413;57.5092;79.1667;82.199;78.0718;67.6724
0.1;1;16;"2,3,4";97;99;119;405;44.9074;69.7222;49.4898;77.2901;47.0874
0.1;1;32;"1,2,3";75;38;33;309;69.4444;84.3956;66.3717;90.3509;67.8733
0.1;1;32;"1,2,4";82;11;23;339;78.0952;92.5275;88.172;93.6464;82.8283
0.1;1;32;"1,3,4";82;13;41;319;66.6667;88.1319;86.3158;88.6111;75.2294
0.1;1;32;"2,3,4";69;32;54;300;56.0976;81.0989;68.3168;84.7458;61.6071
