
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2";296;134;322;1048;47.8964;74.6667;68.8372;76.4964;56.4885
0.1;1;8;"1,3";270;189;312;1029;46.3918;72.1667;58.8235;76.7338;51.8732
0.1;1;8;"1,4";156;231;166;1247;48.4472;77.9444;40.3101;88.2519;44.0056
0.1;1;8;"2,3";235;232;186;1147;55.8195;76.7778;50.3212;86.0465;52.9279
0.1;1;8;"2,4";227;168;212;1193;51.7084;78.8889;57.4684;84.911;54.4365
0.1;1;8;"3,4";196;228;117;1259;62.6198;80.8333;46.2264;91.4971;53.1886
0.1;1;16;"1,2";258;76;169;937;60.4215;82.9861;77.2455;84.7197;67.8055
0.1;1;16;"1,3";258;86;263;833;49.5202;75.7639;75;76.0036;59.6532
0.1;1;16;"1,4";212;76;296;856;41.7323;74.1667;73.6111;74.3056;53.2663
0.1;1;16;"2,3";206;149;168;917;55.0802;77.9861;58.0282;84.5161;56.5158
0.1;1;16;"2,4";208;91;230;911;47.4886;77.7083;69.5652;79.8422;56.445
0.1;1;16;"3,4";155;154;210;921;42.4658;74.7222;50.1618;81.4324;45.9941
0.1;1;32;"1,2";144;26;92;648;61.0169;87.033;84.7059;87.5676;70.936
0.1;1;32;"1,3";116;56;105;633;52.4887;82.3077;67.4419;85.7724;59.0331
0.1;1;32;"1,4";85;49;54;722;61.1511;88.6813;63.4328;93.0412;62.2711
0.1;1;32;"2,3";124;54;86;646;59.0476;84.6154;69.6629;88.2514;63.9175
0.1;1;32;"2,4";100;40;79;691;55.8659;86.9231;71.4286;89.7403;62.6959
0.1;1;32;"3,4";73;69;90;678;44.7853;82.5275;51.4085;88.2812;47.8689

FV w Color;FV w LBP;include road marks
Yes;No;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2";298;132;748;622;28.4895;51.1111;69.3023;45.4015;40.3794
0.1;1;8;"1,3";242;217;557;784;30.2879;57;52.7233;58.4638;38.4738
0.1;1;8;"1,4";22;365;127;1286;14.7651;72.6667;5.68475;91.012;8.20896
0.1;1;8;"2,3";10;457;95;1238;9.52381;69.3333;2.14133;92.8732;3.4965
0.1;1;8;"2,4";195;200;458;947;29.8622;63.4444;49.3671;67.4021;37.2137
0.1;1;8;"3,4";40;384;333;1043;10.7239;60.1667;9.43396;75.7994;10.0376
0.1;1;16;"1,2";231;103;376;730;38.056;66.7361;69.1617;66.0036;49.0967
0.1;1;16;"1,3";19;325;253;843;6.98529;59.8611;5.52326;76.9161;6.16883
0.1;1;16;"1,4";37;251;550;602;6.30324;44.375;12.8472;52.2569;8.45714
0.1;1;16;"2,3";37;318;233;852;13.7037;61.7361;10.4225;78.5253;11.84
0.1;1;16;"2,4";133;166;295;846;31.0748;67.9861;44.4816;74.1455;36.5887
0.1;1;16;"3,4";122;187;354;777;25.6303;62.4306;39.4822;68.7003;31.0828
0.1;1;32;"1,2";37;133;142;598;20.6704;69.7802;21.7647;80.8108;21.2034
